ID;Kategoria;Pytanie;Odpowiedz A;Odpowiedz B;Odpowiedz C;Odpowiedz D;Poprawna odpowiedz
32;Nauka;Jaki pierwiastek barwi krew na czerwono (w hemoglobinie)?;Miedź;Żelazo;Magnez;Cynk;Żelazo
33;Nauka;"Co to jest ""kwark""?";Rodzaj sera;Cząstka elementarna;Jednostka miary;Gwiazda;Cząstka elementarna
34;Nauka;Co jest głównym składnikiem diamentu?;Krzem;Węgiel;Azot;Siarka;Węgiel
35;Nauka;Jaki organ w ciele człowieka filtruje krew?;Serce;Płuca;Nerki;Żołądek;Nerki
36;Nauka;"Co to jest ""pH 7""?";Odczyn kwaśny;Odczyn zasadowy;Odczyn obojętny;Odczyn toksyczny;Odczyn obojętny
37;Nauka;Jakie zwierzę jest symbolem medycyny?;Wąż;Orzeł;Lew;Pies;Wąż
38;Nauka;Który metal najlepiej przewodzi prąd (z powszechnie znanych)?;Złoto;Miedź;Srebro;Aluminium;Srebro
39;Nauka;Jak nazywa się największa kość w ciele człowieka?;Piszczelowa;Ramienna;Udowa;Miednica;Udowa
40;Nauka;Co jest głównym składnikiem gazu ziemnego?;Butan;Propan;Metan;Etan;Metan
41;Nauka;Jaki kolor ma chlorofil?;Czerwony;Zielony;Niebieski;Żółty;Zielony
42;Nauka;Kto wynalazł dynamit?;Albert Einstein;Alfred Nobel;Thomas Edison;Isaac Newton;Alfred Nobel
43;Nauka;Jaki jest symbol chemiczny sodu?;So;Na;Sd;Ni;Na
44;Nauka;"Co to jest ""Pangea""?";Superkontynent;Ocean;Góra;Planeta;Superkontynent
45;Nauka;"Co to jest ""laser""?";Światło rozproszone;Wzmocnione światło spójne;Rodzaj dźwięku;Promieniowanie radioaktywne;Wzmocnione światło spójne
46;Nauka;Jaki jest największy organ człowieka?;Wątroba;Skóra;Mózg;Płuca;Skóra
47;Nauka;"Co to jest ""osmoza""?";Ruch wody przez błonę;Spalanie tłuszczu;Podział komórki;Ruch mięśni;Ruch wody przez błonę
48;Nauka;Jak nazywa się pierwsza szczepionka (przeciwko czemu)?;Grypie;Ospie prawdziwej;Polio;Wściekliźnie;Ospie prawdziwej
49;Nauka;Jak nazywa się galaktyka sąsiadująca z Drogą Mleczną?;Andromeda;Sombrero;Cygaro;Wir;Andromeda
50;Nauka;Kto odkrył promienie X?;Maria Curie;Wilhelm Roentgen;Becquerel;Tesla;Wilhelm Roentgen
51;Nauka;"Co to jest ""akcelerator""?";Hamulec;Przyspieszacz cząstek;Rodzaj silnika;Komputer;Przyspieszacz cząstek
52;Nauka;Kto skonstruował pierwszy teleskop do obserwacji nieba?;Kopernik;Galileusz;Newton;Kepler;Galileusz
53;Nauka;Jaki kwas znajduje się w żołądku?;Siarkowy;Solny;Octowy;Cytrynowy;Solny
54;Nauka;"Co to jest ""kometa""?";Spadająca gwiazda;Bryła lodu i pyłu z warkoczem;Planeta;Asteroida;Bryła lodu i pyłu z warkoczem
55;Nauka;Jak nazywa się nauka o glebach?;Geologia;Pedologia;Geografia;Biologia;Pedologia
56;Jedzenie i napoje;Z jakiego kwiatu pozyskiwany jest szafran?;Róża;Krokus;Lawenda;Maki;Krokus
57;Jedzenie i napoje;Głównym składnikiem hummusu jest:;Soczewica;Bób;Ciecierzyca;Groch;Ciecierzyca
58;Jedzenie i napoje;"Co oznacza słowo ""sushi""?";Surowa ryba;Kwaśny ryż;Rolka;Wodorost;Kwaśny ryż
59;Jedzenie i napoje;Jaki gaz jest używany do bąbelkowania napojów gazowanych?;Tlen;Azot;Dwutlenek węgla;Hel;Dwutlenek węgla
60;Jedzenie i napoje;Z czego produkuje się tofu?;Mleko krowie;Ryż;Soja;Migdały;Soja
61;Jedzenie i napoje;Czym jest Kopi Luwak?;Rodzaj herbaty;Najdroższa kawa;Deser ryżowy;Zupa;Najdroższa kawa
62;Jedzenie i napoje;Co mierzy skala Scoville'a?;Słodycz;Gęstość;Ostrość;Kwasowość;Ostrość
63;Jedzenie i napoje;Tradycyjne kimchi pochodzi z:;Japonii;Chin;Korei;Tajlandii;Korei
64;Jedzenie i napoje;Z jakiego kraju pochodzi rogalik croissant?;Francja;Austria;Włochy;Belgia;Austria
65;Jedzenie i napoje;Z czego robi się prawdziwy marcepan?;Orzechy włoskie;Migdały;Orzeszki ziemne;Wiórki kokosowe;Migdały
66;Jedzenie i napoje;Jak nazywa się japońska wódka ryżowa?;Soju;Sake;Mirin;Shochu;Sake
67;Jedzenie i napoje;Gazpacho to zupa pochodząca z:;Włoch;Hiszpanii;Grecji;Meksyku;Hiszpanii
68;Jedzenie i napoje;Co to jest bouillabaisse?;Ciasto;Gulasz rybny;Sos;Rodzaj chleba;Gulasz rybny
69;Jedzenie i napoje;Z jakiego zboża produkuje się whisky bourbon?;Jęczmień;Żyto;Kukurydza;Pszenica;Kukurydza
70;Jedzenie i napoje;Czym jest foie gras?;Pasztet z wątróbek;Ślimaki;Żabie udka;Kawior;Pasztet z wątróbek
71;Jedzenie i napoje;Jaki kolor ma wino Chardonnay?;Czerwone;Białe;Różowe;Niebieskie;Białe
72;Jedzenie i napoje;Co to jest agar-agar?;Ryba;Przyprawa;Substancja żelująca;Rodzaj makaronu;Substancja żelująca
73;Jedzenie i napoje;Gulasz to narodowa potrawa:;Czech;Słowacji;Węgier;Polski;Węgier
74;Jedzenie i napoje;Jak nazywa się słynny niebieski ser francuski?;Camembert;Roquefort;Brie;Cheddar;Roquefort
75;Jedzenie i napoje;Co to jest carpaccio?;Surowe mięso;Pieczona ryba;Makaron;Deser;Surowe mięso
76;Jedzenie i napoje;Pho to zupa pochodząca z:;Tajlandii;Laosu;Wietnamu;Japonii;Wietnamu
77;Jedzenie i napoje;Z jakiego kraju pochodzi paella?;Portugalia;Włochy;Hiszpania;Brazylia;Hiszpania
78;Jedzenie i napoje;Jak nazywa się grzyb poszukiwany przez świnie lub psy?;Borowik;Trufla;Kurka;Rydz;Trufla
79;Jedzenie i napoje;Co to jest quinoa?;Ryż;Kasza (komosa);Pszenica;Kukurydza;Kasza (komosa)
80;Jedzenie i napoje;"Jaki owoc jest nazywany ""królem owoców"" i ma silny zapach?";Mango;Durian;Papaja;Ananas;Durian
81;Jedzenie i napoje;Z czego robi się cydr?;Z gruszek;Ze śliwek;Z jabłek;Z winogron;Z jabłek
82;Jedzenie i napoje;Tiramisu oznacza dosłownie:;Słodkie życie;Podnieś mnie;Dobranoc;Kocham cię;Podnieś mnie
83;Jedzenie i napoje;Co to jest wasabi?;Japoński chrzan;Japoński sos sojowy;Ryba;Glon;Japoński chrzan
84;Jedzenie i napoje;Jaki jest główny składnik piwa nadający goryczkę?;Słód;Chmiel;Drożdże;Woda;Chmiel
85;Jedzenie i napoje;Co to jest falafel?;Kotlet mięsny;Smażone kulki z ciecierzycy;Rodzaj chleba;Sałatka;Smażone kulki z ciecierzycy
86;Jedzenie i napoje;Jaki kraj słynie z produkcji syropu klonowego?;USA;Norwegia;Kanada;Rosja;Kanada
87;Jedzenie i napoje;Baklava to deser typowy dla kuchni:;Tureckiej/Greckiej;Włoskiej;Francuskiej;Hiszpańskiej;Tureckiej/Greckiej
88;Jedzenie i napoje;Jaki kolor ma dojrzała oliwka na drzewie (zazwyczaj)?;Zielony;Czerwony;Czarny/Fioletowy;Biały;Czarny/Fioletowy
89;Jedzenie i napoje;Co to jest chia?;Rodzaj herbaty;Nasiona szałwii hiszpańskiej;Owoc egzotyczny;Przyprawa;Nasiona szałwii hiszpańskiej
90;Jedzenie i napoje;Jak nazywa się sos z żółtek, masła i cytryny (do szparagów)?;Beszamel;Holenderski;Tatarski;Winegret;Holenderski
91;Jedzenie i napoje;Churros to wypiek pochodzący z:;Meksyku;Argentyny;Hiszpanii;Portugalii;Hiszpanii
92;Jedzenie i napoje;Głównym składnikiem Musaki jest:;Ziemniak;Bakłażan;Cukinia;Marchew;Bakłażan
93;Jedzenie i napoje;Jaka część rośliny to cynamon?;Liść;Korzeń;Kora;Owoc;Kora
94;Jedzenie i napoje;Nori używane do sushi to:;Papier ryżowy;Suszone wodorosty;Liście sałaty;Skóra ryby;Suszone wodorosty
95;Jedzenie i napoje;Skąd pochodzi Feta?;Włochy;Turcja;Grecja;Bułgaria;Grecja
96;Jedzenie i napoje;"Co oznacza ""Al dente""?";Na miękko;Na ząb (lekko twarde);Rozgotowane;Surowe;Na ząb (lekko twarde)
97;Jedzenie i napoje;Jaki alkohol jest robiony z agawy?;Rum;Gin;Tequila;Wódka;Tequila
98;Jedzenie i napoje;Co to jest ceviche?;Smażona ryba;Ryba w soku z cytrusów;Zupa rybna;Ryba wędzona;Ryba w soku z cytrusów
99;Jedzenie i napoje;Co to jest ricotta?;Ser pleśniowy;Ser zwarowy;Ser twardy;Ser topiony;Ser zwarowy
100;Jedzenie i napoje;Skąd pochodzi Tortilla (plackowa)?;Hiszpania;Włochy;Meksyk;Indie;Meksyk
101;Jedzenie i napoje;Główny składnik tzatziki to jogurt i:;Pomidor;Ogórek;Papryka;Cebula;Ogórek
102;Jedzenie i napoje;Jaki jest najpopularniejszy banan na świecie?;Gros Michel;Cavendish;Lady Finger;Red Banana;Cavendish
103;Jedzenie i napoje;Czym jest Tapioka?;Rodzajem ryżu;Skrobią z manioku;Owocem;Orzechem;Skrobią z manioku
104;Jedzenie i napoje;Lasagne to rodzaj:;Zupy;Makaronu (płatów);Chleba;Mięsa;Makaronu (płatów)
105;Jedzenie i napoje;Co to jest escargots?;Ślimaki;Małże;Krewetki;Ostrygi;Ślimaki
106;Jedzenie i napoje;Minestrone to:;Włoska zupa warzywna;Rodzaj makaronu;Deser;Danie mięsne;Włoska zupa warzywna
107;Jedzenie i napoje;Z czego robi się gnocchi?;Z chleba;Z ziemniaków;Z ryżu;Z kaszy;Z ziemniaków
108;Jedzenie i napoje;Jaki napój zawiera chininę?;Cola;Tonik;Lemoniada;Sok pomarańczowy;Tonik
109;Jedzenie i napoje;Ratatouille to danie z:;Mięsa;Warzyw;Ryb;Owoców;Warzyw
110;Jedzenie i napoje;Jaki orzech jest w środku Rafaello?;Laskowy;Włoski;Migdał;Nerkowiec;Migdał
111;Jedzenie i napoje;Poutine (frytki z sosem i serem) pochodzi z:;USA;Kanady;Francji;Belgii;Kanady
112;Jedzenie i napoje;Co to jest halloumi?;Ser cypryjski;Szynka;Chleb;Sos;Ser cypryjski
113;Jedzenie i napoje;Jaka przyprawa jest najczęściej używana do pierników?;Cynamon/Goździki;Bazylia;Oregano;Papryka;Cynamon/Goździki
114;Jedzenie i napoje;Z czego zrobiony jest rum?;Z ziemniaków;Z trzciny cukrowej;Z żyta;Z winogron;Z trzciny cukrowej
115;Jedzenie i napoje;Carbonara (oryginalna) NIE zawiera:;Jajek;Sera Pecorino;Śmietany;Guanciale (boczku);Śmietany
116;Jedzenie i napoje;Haggis to potrawa narodowa:;Walii;Irlandii;Szkocji;Anglii;Szkocji
117;Jedzenie i napoje;Czym jest matcha?;Sproszkowaną zieloną herbatą;Kawą;Zupą;Deserem;Sproszkowaną zieloną herbatą
118;Jedzenie i napoje;Z jakiego mięsa robi się Wiener Schnitzel (oryginalny)?;Wieprzowina;Cielęcina;Kurczak;Wołowina;Cielęcina
119;Jedzenie i napoje;Miso to pasta z:;Soji (fermentowanej);Ryżu;Fasoli czerwonej;Sezamu;Soji (fermentowanej)
120;Jedzenie i napoje;Co to jest Sambuca?;Likier anyżowy;Wino;Piwo;Kawa;Likier anyżowy
121;Jedzenie i napoje;Jak nazywa się chleb indyjski pieczony w piecu tandoor?;Pita;Naan;Tortilla;Bagietka;Naan
122;Jedzenie i napoje;Gravlax to:;Pieczony łosoś;Łosoś marynowany;Zupa rybna;Ryba w galarecie;Łosoś marynowany
123;Jedzenie i napoje;Co to jest polenta?;Kasza kukurydziana;Makaron;Rodzaj sera;Sos pomidorowy;Kasza kukurydziana
124;Jedzenie i napoje;"Jak nazywa się ""masło orzechowe"" z sezamu?";Hummus;Tahini;Pesto;Miso;Tahini
125;Jedzenie i napoje;Sashimi to:;Ryż z rybą;Sam ryż;Sama surowa ryba (plastry);Zupa rybna;Sama surowa ryba (plastry)
126;Jedzenie i napoje;Jaki owoc jest symbolem Nowego Jorku?;Jabłko;Gruszka;Brzoskwinia;Wiśnia;Jabłko
127;Jedzenie i napoje;Z czego jest mleczko kokosowe?;Z wody w środku orzecha;Z miąższu kokosa;Z łupiny;Z liści;Z miąższu kokosa
128;Jedzenie i napoje;Czym jest yerba mate?;Herbatą;Naparem z ostrokrzewu;Kawą;Kakao;Naparem z ostrokrzewu
129;Jedzenie i napoje;Creme brulee ma na wierzchu:;Bitą śmietanę;Owoc;Skarmelizowany cukier;Czekoladę;Skarmelizowany cukier
130;Technologia;Jaki problem technologiczny ogranicza rozwój samochodów wodorowych?;;Magazynowanie wodoru;;;Magazynowanie wodoru
131;Technologia;Która technologia jako pierwsza umożliwiła masową komunikację „na żywo” na odległość?;Radio;Telewizja;Telefon;Telegraf;Telegraf
132;Technologia;Co umożliwiło masowe rozpowszechnienie telewizji po II wojnie światowej?;Satelity;Kolorowy obraz;Tania produkcja odbiorników;Internet;Tania produkcja odbiorników
133;Technologia;Jaki problem rozwiązała technologia kontenerów w transporcie?;Czas przeładunku;Kradzieże;Brak statków;Koszt paliwa;Czas przeładunku
134;Technologia;Dlaczego papierowe bilety zostały wyparte przez elektroniczne?;Ekologia;Koszt druku;Łatwiejsza kontrola i dystrybucja;Moda;Łatwiejsza kontrola i dystrybucja
135;Technologia;Dlaczego GPS w mieście bywa niedokładny?;Przez wysokie budynki;Przez dużą ilość użytkowników w danym obszarze;Przez dużą ilość elektrycznych urządzeń;Przez gorszy zasięg w mieście ;Przez wysokie budynki
136;Technologia;Kto razem z Billem Gatesem założył firmę Microsoft?;Steve Ballmer;Satya Nadella;Jeff Bezos;Paul Allen;Paul Allen
137;Technologia;Skąd wzięła się nazwa mobilnego systemu operacyjnego Android?;"Od zamiłowania Larry'ego Page'a do filmu ""Łowca Androidów""";Została wybrana losowo na zebraniu zespołu zajmującego się marketingiem ;"Od pseudonimu ""ojca"" Androida - Andy'iego Rubina";Przyśniła się Sergey'owi Brinowi;"Od pseudonimu ""ojca"" Androida - Andy'iego Rubina"
138;Technologia;W którym roku powstał pierwszy zestaw ikon emoji?;1998;1999;2000;2001;1999
139;Technologia;Jak nazywa się pierwszy smartwatch przeznaczony dla ludzi niewidomych?;Dot Watch;Blindwatch;Brailly;Quantingo;Dot Watch
140;Geografia;Które państwo posiada najwięcej stref czasowych?;Rosja;USA;Francja;Chiny;Francja
141;Geografia;Jaka jest stolica Kazachstanu (stan na 2024 rok)?;Ałmaty;Astana;Taszkent;Biszkek;Astana
142;Geografia;Która rzeka przecina równik dwukrotnie?;Amazonka;Nil;Kongo;Orinoko;Kongo
143;Geografia;Jak nazywa się najgłębszy rów oceaniczny na Ziemi?;Rów Tonga;Rów Mariański;Rów Filipiński;Rów Kurylski;Rów Mariański
144;Geografia;Które państwo w Ameryce Płd. nie ma dostępu do morza?;Urugwaj;Wenezuela;Paragwaj;Ekwador;Paragwaj
145;Geografia;Który kraj jest największym producentem kakao?;Brazylia;Indonezja;Wybrzeże Kości Sł.;Ghana;WKS
146;Geografia;W którym kraju leży region Transylwania?;Węgry;Bułgaria;Rumunia;Słowacja;Rumunia
147;Geografia;Jedyne państwo bez oficjalnej stolicy to:;Monako;Nauru;Watykan;Palau;Nauru
148;Geografia;Największą wyspą na Morzu Śródziemnym jest:;Cypr;Sardynia;Korsyka;Sycylia;Sycylia
149;Geografia;Rzeka Dunaj wpada do:;Morza Czarnego;Morza Północnego;Morza Adriatyckiego;Morza Kaspijskiego;M. Czarnego
150;Geografia;Jak nazywa się najwyższy szczyt Ameryki Północnej?;Mount Logan;Denali;Mount Rainier;Mount Whitney;Denali
151;Geografia;Lesoto jest enklawą na terytorium którego państwa?;Włoch;RPA;Senegalu;Indii;RPA
152;Geografia;Gdzie leżą Wyspy Owcze?;O. Spokojny;M. Bałtyckie;Płn. Atlantyk;O. Indyjski;Płn. Atlantyk
153;Geografia;Które miasto jest stolicą Kanady?;Toronto;Vancouver;Montreal;Ottawa;Ottawa
154;Geografia;Jak nazywa się najdłuższa rzeka Azji?;Mekong;Jangcy;Żółta Rzeka;Ganges;Jangcy
155;Geografia;Do jakiego państwa należy wyspa Grenlandia?;Kanada;USA;Norwegia;Dania;Dania
156;Geografia;W którym kraju znajduje się Kapadocja?;Grecja;Iran;Turcja;Armenia;Turcja
157;Geografia;Burkina Faso to państwo leżące w:;Ameryce Płd.;Azji;Afryce;Oceanii;Afryce
158;Geografia;Jezioro Bajkał jest:;Największym;Najgłębszym;Najsłonym;Najwyższym;Najgłębszym
159;Geografia;Który kraj ma najdłuższą linię brzegową na świecie?;Rosja;Australia;Kanada;Indonezja;Kanada
160;Geografia;"Który kraj jest nazywany ""Krajem Tysiąca Jezior""?";Szwecja;Kanada;Finlandia;Norwegia;Finlandia
161;Geografia;Surinam leży w:;Afryce;Azji;Ameryce Płd.;Ameryce Śr.;Ameryce Płd.
162;Geografia;Które morze oddziela Półwysep Arabski od Afryki?;M. Czerwone;M. Śródziemne;M. Kaspijskie;M. Czarne;M. Czerwone
163;Geografia;Jak nazywa się rdzenna ludność Nowej Zelandii?;Aborygeni;Maorysi;Inkowie;Lapończycy;Maorysi
164;Geografia;"Obywatele którego kraju nazywają siebie ""Magyar""?";Mongolii;Węgier;Bułgarii;Estonii;Węgier
165;Geografia;Który stan USA jest największy powierzchniowo?;Teksas;Kalifornia;Alaska;Montana;Alaska
166;Geografia;Jaka jest stolica Wietnamu?;Ho Chi Minh;Hanoi;Da Nang;Hue;Hanoi
167;Geografia;Który kraj graniczy z Portugalią?;Francja;Andora;Hiszpania;Maroko;Hiszpania
168;Geografia;Wyspy Galapagos należą do:;Kolumbii;Meksyku;Ekwadoru;Peru;Ekwadoru
169;Geografia;Kontynent o największej średniej wysokości n.p.m. to:;Azja;Ameryka Płn.;Antarktyda;Europa;Antarktyda
170;Geografia;Góra Kościuszki jest najwyższym szczytem:;Polski;Australii;Nowej Zelandii;Alp;Australii
171;Filmy i seriale;"Kto wyreżyserował ""Listę Schindlera""?";Martin Scorsese;Steven Spielberg;Roman Polański;Woody Allen;Steven Spielberg
172;Filmy i seriale;"Jak nazywa się kawiarnia w serialu ""Przyjaciele""?";Central Perk;Star Coffee;Monk's Cafe;Luke's Diner;Central Perk
173;Filmy i seriale;Który film zdobył najwięcej Oscarów (11) - jeden z trzech rekordzistów?;Ojciec Chrzestny;Władca Pierścieni: Powrót Króla;Gwiezdne Wojny;Forrest Gump;Władca Pierścieni: Powrót Króla
174;Filmy i seriale;W którym roku odbyła się premiera pierwszego filmu o Harrym Potterze?;1999;2001;2003;2005;2001
175;Filmy i seriale;"Jak nazywa się główna bohaterka ""Igrzysk Śmierci""?";Bella Swan;Hermione Granger;Katniss Everdeen;Lara Croft;Katniss Everdeen
176;Filmy i seriale;"Kto zagrał Jokera w ""Mrocznym Rycerzu""?";Jack Nicholson;Jared Leto;Heath Ledger;Joaquin Phoenix;Heath Ledger
177;Filmy i seriale;"""Seksmisja"" to komedia w reżyserii:";Stanisława Barei;Juliusza Machulskiego;Andrzeja Wajdy;Krzysztofa Kieślowskiego;Juliusza Machulskiego
178;Filmy i seriale;"Kto jest autorem muzyki do ""Króla Lwa"" (piosenki)?";Phil Collins;Elton John;Hans Zimmer;Sting;Elton John
179;Filmy i seriale;Kto zagrał rolę Wiedźmina w polskim filmie z 2001 roku?;Marcin Dorociński;Michał Żebrowski;Borys Szyc;Tomasz Karolak;Michał Żebrowski
180;Filmy i seriale;"Kto wyreżyserował ""Lśnienie""?";Stanley Kubrick;Alfred Hitchcock;John Carpenter;Wes Craven;Stanley Kubrick
181;Filmy i seriale;"W którym mieście toczy się akcja ""Seks w wielkim mieście""?";Los Angeles;Chicago;Nowy Jork;Miami;Nowy Jork
182;Filmy i seriale;"Jak nazywa się planeta w filmie ""Avatar""?";Tatooine;Pandora;Arrakis;Mars;Pandora
183;Filmy i seriale;"Kto jest reżyserem trylogii ""Mroczny Rycerz""?";Tim Burton;Zack Snyder;Christopher Nolan;Joel Schumacher;Christopher Nolan
184;Filmy i seriale;"""Dzień Świra"" to film z Markiem Kondratem w roli:";Adasia Miauczyńskiego;Jana Kowalskiego;Stefana Siarzewskiego;Franciszka Dolasa;Adasia Miauczyńskiego
185;Filmy i seriale;"Serial ""Czarnobyl"" wyprodukowała stacja:";Netflix;HBO;Amazon;BBC;HBO
186;Filmy i seriale;"Kto zagrał główną rolę w ""Pianiście""?";Adrien Brody;Joaquin Phoenix;Jude Law;Ralph Fiennes;Adrien Brody
187;Filmy i seriale;W którym filmie Bruce Willis gra psychologa dziecięcego?;Szklana Pułapka;Szósty zmysł;Piąty element;Pulp Fiction;Szósty zmysł
188;Filmy i seriale;"Kto zagrał rolę Hannibala Lectera w ""Milczeniu owiec""?";Anthony Hopkins;Mads Mikkelsen;Brian Cox;Jack Nicholson;Anthony Hopkins
189;Filmy i seriale;"Polski film ""Bogowie"" opowiada o:";Janie Pawle II;Zbigniewie Relidze;Lechu Wałęsie;Ryszardzie Kapuścińskim;Zbigniewie Relidze
190;Filmy i seriale;"Serial ""The Office"" (US) dzieje się w firmie sprzedającej:";Papier;Komputery;Samochody;Ubezpieczenia;Papier
191;Filmy i seriale;"Kto zagrał główną rolę w ""Masce""?";Ben Stiller;Jim Carrey;Adam Sandler;Eddie Murphy;Jim Carrey
192;Filmy i seriale;Jak nazywa się nagroda przyznawana najgorszym filmom?;Złoty Glob;Złota Malina;Złota Palma;Złoty Lew;Złota Malina
193;Filmy i seriale;"Kto wyreżyserował ""Incepcję""?";Christopher Nolan;Ridley Scott;James Cameron;Denis Villeneuve;Christopher Nolan
194;Filmy i seriale;"""Show must go on"" śpiewał zespół Queen, ale w filmie ""Bohemian Rhapsody"" zagrał Freddiego:";Sacha Baron Cohen;Rami Malek;Taron Egerton;Austin Butler;Rami Malek
195;Filmy i seriale;Polski serial komediowy o mieszkańcach bloku przy Alternatywy 4 wyreżyserował:;Stanisław Bareja;Jerzy Gruza;Andrzej Wajda;Krzysztof Zanussi;Stanisław Bareja
196;Filmy i seriale;"Jak nazywa się system sztucznej inteligencji w ""Odysei Kosmicznej 2001""?";Skynet;HAL 9000;Jarvis;Ultron;HAL 9000
197;Filmy i seriale;"Serial ""M jak Miłość"" jest emitowany w Polsce od roku:";1997;2000;2003;2005;2000
198;Filmy i seriale;Jak nazywa się serial o nauczycielu, który zostaje prezydentem Ukrainy (z Zełenskim)?;Sługa Narodu;Prezydent;Władza;Kijów;Sługa Narodu
199;Filmy i seriale;"Jak nazywa się miś z ""Księgi Dżungli""?";Baloo;Bagheera;Shere Khan;Kaa;Baloo
200;Filmy i seriale;"Jak nazywa się główna bohaterka ""Śniadania u Tiffany'ego""?";Holly Golightly;Eliza Doolittle;Scarlett O'Hara;Marilyn Monroe;Holly Golightly
201;Filmy i seriale;Jak nazywa się fikcyjna marka papierosów pojawiająca się w filmach Tarantino?;Morley;Red Apple;Big Kahuna;Capitol;Red Apple
202;Filmy i seriale;"Kto odrzucił rolę Neo w ""Matrixie"", aby zagrać w ""Bardzo dzikim zachodzie""?";Brad Pitt;Will Smith;Leonardo DiCaprio;Nicolas Cage;Will Smith
203;Filmy i seriale;W którym roku odbyła się pierwsza ceremonia wręczenia Oscarów?;1927;1929;1931;1935;1929
204;Filmy i seriale;"Jak nazywa się bar, w którym spotykają się bohaterowie ""Jak poznałem waszą matkę""?";Central Perk;MacLaren's;Cheers;Monk's;MacLaren's
205;Filmy i seriale;"Jak nazywa się córka Belli i Edwarda w sadze ""Zmierzch""?";Renesmee;Rosalie;Alice;Esme;Renesmee
206;Filmy i seriale;Jak nazywa się planeta, z której pochodzi Superman?;Krypton;Cybertron;Vulcan;Tatooine;Krypton
